subject	firstMoverSecondMover	transferP1	transferP2	payoffP1	payoffP2	age	male	educationYears	perepkaFirstMover	ngenikaFirstMover	outgroupPairing
601	PP	3	5	12	6	29	0	6	1	0	0
602	PP	5	5	10	10	43	0	0	1	0	0
603	PP	3	5	12	6	18	1	5	1	0	0
604	PN	0	0	5	5	18	0	6	1	0	1
605	PN	2	2	7	7	29	1	6	1	0	1
606	PN	3	3	8	8	45	1	0	1	0	1
607	NP	3	1	4	10	24	1	9	0	1	1
608	NP	1	0	4	7	35	1	6	0	1	1
609	NP	2	0	3	9	30	1	6	0	1	1
610	NN	5	5	10	10	18	1	8	0	1	0
611	NN	4	4	9	9	34	1	6	0	1	0
612	NN	2	5	13	4	26	0	6	0	1	0
701	PP	5	5	10	10	25	1	6	1	0	0
702	PP	2	5	13	4	22	1	6	1	0	0
703	PP	0	2	9	3	28	1	6	1	0	0
704	PN	0	0	5	5	20	1	12	1	0	1
705	PN	0	0	5	5	35	1	6	1	0	1
706	PN	0	0	5	5	20	0	5	1	0	1
707	NP	0	0	5	5	32	1	6	0	1	1
708	NP	2	0	3	9	24	1	10	0	1	1
709	NP	0	0	5	5	24	0	4	0	1	1
710	NN	5	5	10	10	22	0	9	0	1	0
711	NN	4	4	9	9	18	0	3	0	1	0
712	NN	4	4	9	9	24	0	6	0	1	0
801	PP	5	5	10	10	35	0	6	1	0	0
802	PP	2	2	7	7	19	1	12	1	0	0
803	PP	5	5	10	10	23	1	8	1	0	0
804	PN	2	2	7	7	40	1	10	1	0	1
805	PN	5	5	10	10	20	1	4	1	0	1
806	PN	0	0	5	5	25	0	7	1	0	1
807	NP	1	2	8	5	25	1	5	0	1	1
808	NP	0	0	5	5	57	1	5	0	1	1
809	NP	2	0	3	9	40	0	6	0	1	1
810	NN	5	5	10	10	45	0	6	0	1	0
811	NN	4	5	11	8	32	0	2	0	1	0
812	NN	4	5	11	8	50	0	8	0	1	0
901	PP	4	5	11	8	30	0	0	1	0	0
902	PP	5	5	10	10	28	1	6	1	0	0
903	PP	3	5	12	6	60	1	0	1	0	0
904	PN	5	5	10	10	25	1	10	1	0	1
905	PN	4	2	5	11	31	0	6	1	0	1
906	PN	5	4	8	11	23	1	10	1	0	1
907	NP	5	1	2	14	35	0	6	0	1	1
908	NP	5	3	6	12	73	1	3	0	1	1
909	NP	3	0	2	11	60	1	0	0	1	1
910	NN	5	5	10	10	60	1	3	0	1	0
911	NN	5	5	10	10	46	1	8	0	1	0
912	NN	5	5	10	10	64	1	5	0	1	0
1001	PP	2	1	5	8	26	0	10	1	0	0
1002	PP	4	2	5	11	45	1	0	1	0	0
1003	PP	1	4	12	3	26	1	12	1	0	0
1004	PN	1	3	10	4	45	1	0	1	0	1
1005	PN	0	0	5	5	28	1	6	1	0	1
1006	PN	3	3	8	8	20	1	0	1	0	1
1007	PN	2	1	5	8	29	1	6	1	0	1
1008	NP	5	0	0	15	30	0	10	0	1	1
1009	NP	3	5	12	6	25	1	6	0	1	1
1010	NP	0	0	5	5	40	0	6	0	1	1
1011	NN	5	5	10	10	50	1	10	0	1	0
1012	NN	5	5	10	10	65	1	0	0	1	0
1013	NN	5	5	10	10	34	0	6	0	1	0
1101	PP	2	2	7	7	39	1	5	1	0	0
1102	PP	5	5	10	10	24	0	5	1	0	0
1103	PP	5	5	10	10	19	1	8	1	0	0
1104	PN	1	0	4	7	25	0	3	1	0	1
1105	PN	3	0	2	11	18	1	11	1	0	1
1106	PN	1	1	6	6	22	0	8	1	0	1
1107	NP	1	0	4	7	40	0	1	0	1	1
1108	NP	3	0	2	11	20	0	6	0	1	1
1109	NP	5	2	4	13	21	0	9	0	1	1
1110	NN	3	3	8	8	30	0	5	0	1	0
1111	NN	5	5	10	10	22	0	5	0	1	0
1112	NN	3	4	10	7	18	0	11	0	1	0
