subject	age	male	educationYears	transferP1	transferP2	ingroupPairing	perepkaP2	ngenikaP2
1002	27	0	6	0	4	1	1	0
1002	27	0	6	1	2	1	1	0
1002	27	0	6	2	3	1	1	0
1002	27	0	6	3	2	1	1	0
1002	27	0	6	4	2	1	1	0
1002	27	0	6	5	5	1	1	0
1003	30	0	0	0	2	1	1	0
1003	30	0	0	1	4	1	1	0
1003	30	0	0	2	5	1	1	0
1003	30	0	0	3	5	1	1	0
1003	30	0	0	4	5	1	1	0
1003	30	0	0	5	5	1	1	0
1004	19	1	4	0	2	0	0	1
1004	19	1	4	1	3	0	0	1
1004	19	1	4	2	4	0	0	1
1004	19	1	4	3	5	0	0	1
1004	19	1	4	4	5	0	0	1
1004	19	1	4	5	5	0	0	1
1005	18	1	9	0	0	0	0	1
1005	18	1	9	1	1	0	0	1
1005	18	1	9	2	1	0	0	1
1005	18	1	9	3	2	0	0	1
1005	18	1	9	4	4	0	0	1
1005	18	1	9	5	5	0	0	1
1006	18	0	7	0	0	0	0	1
1006	18	0	7	1	1	0	0	1
1006	18	0	7	2	2	0	0	1
1006	18	0	7	3	3	0	0	1
1006	18	0	7	4	4	0	0	1
1006	18	0	7	5	5	0	0	1
1007	30	0	0	0	2	0	1	0
1007	30	0	0	1	1	0	1	0
1007	30	0	0	2	0	0	1	0
1007	30	0	0	3	0	0	1	0
1007	30	0	0	4	0	0	1	0
1007	30	0	0	5	0	0	1	0
1008	30	1	6	0	0	0	1	0
1008	30	1	6	1	2	0	1	0
1008	30	1	6	2	4	0	1	0
1008	30	1	6	3	5	0	1	0
1008	30	1	6	4	5	0	1	0
1008	30	1	6	5	5	0	1	0
1009	30	1	10	0	5	0	1	0
1009	30	1	10	1	2	0	1	0
1009	30	1	10	2	3	0	1	0
1009	30	1	10	3	3	0	1	0
1009	30	1	10	4	4	0	1	0
1009	30	1	10	5	5	0	1	0
1010	26	1	6	0	2	1	0	1
1010	26	1	6	1	3	1	0	1
1010	26	1	6	2	4	1	0	1
1010	26	1	6	3	4	1	0	1
1010	26	1	6	4	5	1	0	1
1010	26	1	6	5	5	1	0	1
1011	20	1	10	0	3	1	0	1
1011	20	1	10	1	4	1	0	1
1011	20	1	10	2	5	1	0	1
1011	20	1	10	3	5	1	0	1
1011	20	1	10	4	5	1	0	1
1011	20	1	10	5	5	1	0	1
1012	35	0	6	0	3	1	0	1
1012	35	0	6	1	4	1	0	1
1012	35	0	6	2	5	1	0	1
1012	35	0	6	3	5	1	0	1
1012	35	0	6	4	5	1	0	1
1012	35	0	6	5	5	1	0	1
1101	35	0	0	0	2	1	1	0
1101	35	0	0	1	1	1	1	0
1101	35	0	0	2	2	1	1	0
1101	35	0	0	3	3	1	1	0
1101	35	0	0	4	4	1	1	0
1101	35	0	0	5	5	1	1	0
1102	40	1	8	0	0	1	1	0
1102	40	1	8	1	1	1	1	0
1102	40	1	8	2	2	1	1	0
1102	40	1	8	3	3	1	1	0
1102	40	1	8	4	4	1	1	0
1102	40	1	8	5	5	1	1	0
1103	18	0	8	0	0	1	1	0
1103	18	0	8	1	0	1	1	0
1103	18	0	8	2	0	1	1	0
1103	18	0	8	3	0	1	1	0
1103	18	0	8	4	0	1	1	0
1103	18	0	8	5	0	1	1	0
1104	22	1	6	0	0	0	0	1
1104	22	1	6	1	0	0	0	1
1104	22	1	6	2	1	0	0	1
1104	22	1	6	3	1	0	0	1
1104	22	1	6	4	2	0	0	1
1104	22	1	6	5	2	0	0	1
1105	30	1	6	0	0	0	0	1
1105	30	1	6	1	0	0	0	1
1105	30	1	6	2	0	0	0	1
1105	30	1	6	3	0	0	0	1
1105	30	1	6	4	0	0	0	1
1105	30	1	6	5	0	0	0	1
1106	21	1	10	0	0	0	0	1
1106	21	1	10	1	1	0	0	1
1106	21	1	10	2	1	0	0	1
1106	21	1	10	3	2	0	0	1
1106	21	1	10	4	2	0	0	1
1106	21	1	10	5	2	0	0	1
1107	25	0	8	0	0	0	1	0
1107	25	0	8	1	0	0	1	0
1107	25	0	8	2	0	0	1	0
1107	25	0	8	3	0	0	1	0
1107	25	0	8	4	0	0	1	0
1107	25	0	8	5	0	0	1	0
1108	35	0	6	0	0	0	1	0
1108	35	0	6	1	0	0	1	0
1108	35	0	6	2	1	0	1	0
1108	35	0	6	3	1	0	1	0
1108	35	0	6	4	1	0	1	0
1108	35	0	6	5	2	0	1	0
1109	20	1	6	0	0	1	0	1
1109	20	1	6	1	1	1	0	1
1109	20	1	6	2	2	1	0	1
1109	20	1	6	3	3	1	0	1
1109	20	1	6	4	4	1	0	1
1109	20	1	6	5	5	1	0	1
1110	28	0	6	0	3	1	0	1
1110	28	0	6	1	2	1	0	1
1110	28	0	6	2	3	1	0	1
1110	28	0	6	3	3	1	0	1
